OrderID,ProductId,Platform,City,Quantity,TotalAmount
ORD100000,P0001,Souq,Cairo,1,16284.02
ORD100001,P0002,Jumia,Alexandria,2,13290.4
ORD100002,P0003,Jumia,Casablanca,3,26648.76
ORD100003,P0004,Souq,Dubai,1,3665.44
ORD100004,P0005,Souq,Casablanca,2,10420.74
ORD100005,P0006,Souq,Riyadh,5,99349.3
ORD100006,P0007,Souq,Casablanca,2,35592.22
ORD100007,P0008,Souq,Casablanca,3,39243.42
ORD100008,P0009,Amazon,Dubai,5,2551.5
ORD100009,P0010,Jumia,Riyadh,3,18979.71
ORD100010,P0011,Jumia,Riyadh,1,10283.51
ORD100011,P0012,Jumia,Casablanca,2,903.58
ORD100012,P0013,Souq,Dubai,3,17713.47
ORD100013,P0014,Jumia,Dubai,4,79412.76
ORD100014,P0015,Jumia,Alexandria,4,71683.28
ORD100015,P0016,Amazon,Cairo,5,79011.35
ORD100016,P0017,Souq,Alexandria,5,17648.85
ORD100017,P0018,Amazon,Cairo,3,39743.31
ORD100018,P0019,Amazon,Giza,2,27872.98
ORD100019,P0020,Souq,Cairo,3,17859.75
ORD100020,P0021,Amazon,Dubai,4,38867.8
ORD100021,P0022,Jumia,Casablanca,4,48538.2
ORD100022,P0023,Jumia,Alexandria,1,3597.29
ORD100023,P0024,Jumia,Casablanca,3,51262.32
ORD100024,P0025,Souq,Dubai,2,14792.76
ORD100025,P0026,Souq,Casablanca,5,79576.95
ORD100026,P0027,Souq,Dubai,4,58534.24
ORD100027,P0028,Souq,Giza,1,19624.3
ORD100028,P0029,Amazon,Giza,2,24189.42
ORD100029,P0030,Jumia,Dubai,2,3364.82
ORD100030,P0031,Jumia,Giza,3,19753.53
ORD100031,P0032,Souq,Giza,2,7521.22
ORD100032,P0033,Amazon,Alexandria,4,63124.6
ORD100033,P0034,Souq,Alexandria,2,18411.86
ORD100034,P0035,Souq,Riyadh,5,44139.8
ORD100035,P0036,Souq,Casablanca,4,14792.48
ORD100036,P0037,Souq,Cairo,2,38050.44
ORD100037,P0038,Amazon,Alexandria,5,37302.45
ORD100038,P0039,Jumia,Dubai,3,26877.15
ORD100039,P0040,Jumia,Dubai,4,64637.44
ORD100040,P0041,Souq,Giza,5,70265.85
ORD100041,P0042,Amazon,Casablanca,5,27759.65
ORD100042,P0043,Souq,Dubai,4,51411.64
ORD100043,P0044,Souq,Cairo,5,40646.8
ORD100044,P0045,Jumia,Casablanca,2,17090.32
ORD100045,P0046,Jumia,Dubai,4,49551.88
ORD100046,P0047,Amazon,Giza,1,10278.34
ORD100047,P0048,Jumia,Giza,5,57880.2
ORD100048,P0049,Jumia,Casablanca,3,36336.42
ORD100049,P0050,Souq,Casablanca,4,8846.56
ORD100050,P0051,Jumia,Cairo,5,15624.2
ORD100051,P0052,Amazon,Riyadh,2,1513.46
ORD100052,P0053,Souq,Riyadh,1,14895.57
ORD100053,P0054,Jumia,Dubai,1,18273.23
ORD100054,P0055,Amazon,Alexandria,5,50027.65
ORD100055,P0056,Amazon,Alexandria,4,16505
ORD100056,P0057,Amazon,Giza,5,99077.9
ORD100057,P0058,Amazon,Casablanca,3,6770.22
ORD100058,P0059,Amazon,Giza,4,5930.96
ORD100059,P0060,Souq,Alexandria,1,7877.19
ORD100060,P0061,Souq,Riyadh,3,38911.23
ORD100061,P0062,Jumia,Casablanca,2,25338.48
ORD100062,P0063,Amazon,Riyadh,4,54201.36
ORD100063,P0064,Jumia,Giza,2,37221.1
ORD100064,P0065,Jumia,Dubai,3,36929.28
ORD100065,P0066,Souq,Riyadh,2,21076.26
ORD100066,P0067,Amazon,Dubai,1,2059.56
ORD100067,P0068,Amazon,Riyadh,1,867.36
ORD100068,P0069,Souq,Casablanca,2,39036.02
ORD100069,P0070,Souq,Dubai,1,5639.27
ORD100070,P0071,Souq,Giza,5,26691.5
ORD100071,P0072,Amazon,Dubai,2,31192.78
ORD100072,P0073,Jumia,Cairo,4,15853.72
ORD100073,P0074,Amazon,Dubai,4,31526.32
ORD100074,P0075,Amazon,Cairo,1,8551.18
ORD100075,P0076,Souq,Alexandria,1,13558.27
ORD100076,P0077,Souq,Dubai,3,51316.17
ORD100077,P0078,Amazon,Casablanca,2,30576.94
ORD100078,P0079,Souq,Cairo,5,95432.5
ORD100079,P0080,Souq,Giza,4,30256.72
ORD100080,P0081,Souq,Alexandria,2,15839.76
ORD100081,P0082,Souq,Giza,3,53363.76
ORD100082,P0083,Amazon,Giza,4,19576.48
ORD100083,P0084,Jumia,Casablanca,2,19149.76
ORD100084,P0085,Souq,Dubai,4,44906
ORD100085,P0086,Jumia,Casablanca,4,6276.24
ORD100086,P0087,Amazon,Giza,5,27460.65
ORD100087,P0088,Amazon,Cairo,2,2105.26
ORD100088,P0089,Jumia,Cairo,4,58858.32
ORD100089,P0090,Souq,Casablanca,1,5026.21
ORD100090,P0091,Souq,Cairo,4,56656.56
ORD100091,P0092,Souq,Dubai,5,8016.9
ORD100092,P0093,Amazon,Casablanca,1,2604.4
ORD100093,P0094,Jumia,Alexandria,3,26769.51
ORD100094,P0095,Souq,Casablanca,1,6220.11
ORD100095,P0096,Souq,Riyadh,4,12518.36
ORD100096,P0097,Amazon,Giza,3,1076.22
ORD100097,P0098,Souq,Giza,1,18847.29
ORD100098,P0099,Souq,Dubai,2,13117
ORD100099,P0100,Souq,Casablanca,5,88249.3
ORD100100,P0101,Jumia,Cairo,1,9543.53
ORD100101,P0102,Souq,Cairo,5,62768.6
ORD100102,P0103,Souq,Riyadh,2,5569.54
ORD100103,P0104,Jumia,Cairo,5,95127.15
ORD100104,P0105,Amazon,Giza,3,55926.66
ORD100105,P0106,Amazon,Casablanca,1,15360.28
ORD100106,P0107,Souq,Riyadh,4,32034.08
ORD100107,P0108,Amazon,Alexandria,2,8240.72
ORD100108,P0109,Souq,Cairo,1,8125.12
ORD100109,P0110,Souq,Giza,3,22716.96
ORD100110,P0111,Amazon,Cairo,5,40944.4
ORD100111,P0112,Souq,Cairo,3,1378.92
ORD100112,P0113,Amazon,Giza,2,538.36
ORD100113,P0114,Jumia,Casablanca,4,8285.28
ORD100114,P0115,Souq,Cairo,2,10635.48
ORD100115,P0116,Amazon,Dubai,2,35573.28
ORD100116,P0117,Amazon,Dubai,5,91095.65
ORD100117,P0118,Jumia,Dubai,1,12941.86
ORD100118,P0119,Souq,Giza,3,25191.72
ORD100119,P0120,Jumia,Casablanca,5,55597.25
ORD100120,P0121,Souq,Giza,5,4560.75
ORD100121,P0122,Jumia,Giza,3,10058.16
ORD100122,P0123,Souq,Cairo,4,38296.84
ORD100123,P0124,Souq,Giza,2,34070.56
ORD100124,P0125,Amazon,Casablanca,4,10329.76
ORD100125,P0126,Amazon,Casablanca,2,33548.44
ORD100126,P0127,Jumia,Cairo,2,2356.5
ORD100127,P0128,Souq,Riyadh,5,54767.65
ORD100128,P0129,Souq,Alexandria,2,19032.42
ORD100129,P0130,Souq,Casablanca,4,40331.04
ORD100130,P0131,Souq,Riyadh,4,61557.96
ORD100131,P0132,Souq,Giza,1,15054.63
ORD100132,P0133,Souq,Alexandria,2,34688.44
ORD100133,P0134,Souq,Alexandria,2,7126.1
ORD100134,P0135,Jumia,Dubai,5,89164.2
ORD100135,P0136,Amazon,Riyadh,3,54883.11
ORD100136,P0137,Jumia,Riyadh,1,13555.2
ORD100137,P0138,Jumia,Dubai,3,31540.02
ORD100138,P0139,Jumia,Giza,4,66278.4
ORD100139,P0140,Jumia,Giza,5,21790.25
ORD100140,P0141,Jumia,Alexandria,4,41494.8
ORD100141,P0142,Souq,Alexandria,5,2126.15
ORD100142,P0143,Souq,Dubai,2,17426.92
ORD100143,P0144,Jumia,Alexandria,4,12371.32
ORD100144,P0145,Jumia,Casablanca,4,61737.52
ORD100145,P0146,Amazon,Giza,3,20949.93
ORD100146,P0147,Jumia,Giza,5,19820.65
ORD100147,P0148,Souq,Dubai,3,17490.24
ORD100148,P0149,Souq,Cairo,1,15019.37
ORD100149,P0150,Souq,Giza,1,1128.05
ORD100150,P0151,Souq,Casablanca,4,78814.16
ORD100151,P0152,Jumia,Alexandria,4,26619.08
ORD100152,P0153,Jumia,Casablanca,1,4081.63
ORD100153,P0154,Amazon,Casablanca,5,66123.25
ORD100154,P0155,Jumia,Dubai,2,8007.88
ORD100155,P0156,Jumia,Cairo,2,26486.44
ORD100156,P0157,Jumia,Riyadh,1,5594.32
ORD100157,P0158,Souq,Casablanca,2,1632.4
ORD100158,P0159,Souq,Casablanca,5,94012.05
ORD100159,P0160,Jumia,Dubai,5,48796.9
ORD100160,P0161,Jumia,Dubai,5,55862.45
ORD100161,P0162,Amazon,Alexandria,4,75054.2
ORD100162,P0163,Jumia,Cairo,3,11445.96
ORD100163,P0164,Amazon,Dubai,1,4144.58
ORD100164,P0165,Souq,Riyadh,2,11183.38
ORD100165,P0166,Souq,Giza,1,16855.68
ORD100166,P0167,Amazon,Riyadh,5,49347.65
ORD100167,P0168,Jumia,Dubai,2,27292.3
ORD100168,P0169,Jumia,Alexandria,2,16281.06
ORD100169,P0170,Amazon,Casablanca,2,8621.26
ORD100170,P0171,Jumia,Alexandria,1,11982.84
ORD100171,P0172,Amazon,Alexandria,5,45327.1
ORD100172,P0173,Amazon,Dubai,1,18705.82
ORD100173,P0174,Souq,Riyadh,3,8710.65
ORD100174,P0175,Souq,Casablanca,4,76848.96
ORD100175,P0176,Amazon,Casablanca,5,72863.6
ORD100176,P0177,Jumia,Giza,3,51205.11
ORD100177,P0178,Souq,Cairo,5,77474.45
ORD100178,P0179,Amazon,Cairo,1,15204.36
ORD100179,P0180,Jumia,Cairo,3,34266.15
ORD100180,P0181,Amazon,Casablanca,4,43244.96
ORD100181,P0182,Souq,Riyadh,3,11351.19
ORD100182,P0183,Amazon,Riyadh,3,15191.13
ORD100183,P0184,Jumia,Alexandria,1,3667.22
ORD100184,P0185,Souq,Giza,1,4520.58
ORD100185,P0186,Amazon,Giza,2,21889.32
ORD100186,P0187,Jumia,Riyadh,1,7164.15
ORD100187,P0188,Amazon,Dubai,4,28566.32
ORD100188,P0189,Souq,Alexandria,5,35350.75
ORD100189,P0190,Amazon,Giza,3,6774.12
ORD100190,P0191,Souq,Alexandria,2,2036
ORD100191,P0192,Jumia,Alexandria,5,82876.75
ORD100192,P0193,Souq,Alexandria,1,19772.85
ORD100193,P0194,Souq,Dubai,1,4941.81
ORD100194,P0195,Souq,Casablanca,3,35434.89
ORD100195,P0196,Amazon,Casablanca,1,6402.17
ORD100196,P0197,Jumia,Cairo,5,99263.8
ORD100197,P0198,Jumia,Casablanca,4,46191.84
ORD100198,P0199,Amazon,Giza,5,58393.1
ORD100199,P0200,Amazon,Cairo,2,25183.34
ORD100200,P0201,Jumia,Riyadh,2,33148.26
ORD100201,P0202,Jumia,Alexandria,1,14808.65
ORD100202,P0203,Souq,Dubai,5,34413.75
ORD100203,P0204,Jumia,Dubai,5,88047.75
ORD100204,P0205,Souq,Alexandria,3,47497.62
ORD100205,P0206,Jumia,Casablanca,3,17762.4
ORD100206,P0207,Souq,Giza,1,9725.77
ORD100207,P0208,Amazon,Cairo,1,11305.18
ORD100208,P0209,Jumia,Dubai,1,4760.86
ORD100209,P0210,Jumia,Dubai,4,45036.32
ORD100210,P0211,Amazon,Cairo,1,17811.95
ORD100211,P0212,Amazon,Riyadh,1,5956.97
ORD100212,P0213,Souq,Dubai,5,12738.85
ORD100213,P0214,Souq,Alexandria,1,15258.29
ORD100214,P0215,Jumia,Dubai,3,37077.84
ORD100215,P0216,Souq,Casablanca,3,11160.99
ORD100216,P0217,Amazon,Casablanca,5,8708
ORD100217,P0218,Souq,Cairo,2,26781.52
