ProductId,OrderID,Product,Category,Brand,Platform,City,Price,Quantity,TotalAmount,Rating,Reviews,,,,,
P0001,ORD100000,Samsung Galaxy A14,Electronics,Samsung,Souq,Cairo,16284.02,1,16284.02,1.39,1684,,,,,
P0002,ORD100001,Nike Air Max,Fashion,Nike,Jumia,Alexandria,6645.2,2,13290.4,2.56,3604,,,,,
P0003,ORD100002,Bluetooth Headset,Accessories,JBL,Jumia,Casablanca,8882.92,3,26648.76,4.98,1257,,,,,
P0004,ORD100003,HP Pavilion Laptop,Computers,HP,Souq,Dubai,3665.44,1,3665.44,1.44,662,,,,,
P0005,ORD100004,iPhone 13,Electronics,Apple,Souq,Casablanca,5210.37,2,10420.74,3.73,2424,,,,,
P0006,ORD100005,T-shirt Cotton,Fashion,Generic,Souq,Riyadh,19869.86,5,99349.3,3.91,2154,,,,, 
P0007,ORD100006,T-shirt Cotton,Fashion,Generic,Souq,Casablanca,17796.11,2,35592.22,4.18,4309,,,,,
P0008,ORD100007,Smartwatch FitPro,Wearables,FitPro,Souq,Casablanca,13081.14,3,39243.42,2.98,3504,,,,,
P0009,ORD100008,T-shirt Cotton,Fashion,Generic,Amazon,Dubai,510.3,5,2551.5,1.17,178,,,,,
P0010,ORD100009,Xiaomi Redmi Note 12,Electronics,Xiaomi,Jumia,Riyadh,6326.57,3,18979.71,2.05,4589,,,,,
P0011,ORD100010,Samsung Galaxy A14,Electronics,Samsung,Jumia,Riyadh,10283.51,1,10283.51,3.05,4702,,,,,
P0012,ORD100011,Dell Inspiron 3501,Computers,Dell,Jumia,Casablanca,451.79,2,903.58,4.28,618,,,,,
P0013,ORD100012,HP Pavilion Laptop,Computers,HP,Souq,Dubai,5904.49,3,17713.47,2.6,1215,,,,,
P0014,ORD100013,HP Pavilion Laptop,Computers,HP,Jumia,Dubai,19853.19,4,79412.76,3.46,2143,,,,,
P0015,ORD100014,HP Pavilion Laptop,Computers,HP,Jumia,Alexandria,17920.82,4,71683.28,4.84,2166,,,,,
P0016,ORD100015,Xiaomi Redmi Note 12,Electronics,Xiaomi,Amazon,Cairo,15802.27,5,79011.35,1.75,1853,,,,,
P0017,ORD100016,Samsung Galaxy A14,Electronics,Samsung,Souq,Alexandria,3529.77,5,17648.85,2.06,717,,,,,
P0018,ORD100017,Dell Inspiron 3501,Computers,Dell,Amazon,Cairo,13247.77,3,39743.31,3.86,4403,,,,,
P0019,ORD100018,iPhone 13,Electronics,Apple,Amazon,Giza,13936.49,2,27872.98,1.42,153,,,,,
P0020,ORD100019,T-shirt Cotton,Fashion,Generic,Souq,Cairo,5953.25,3,17859.75,1.99,3079,,,,,
P0021,ORD100020,Adidas Running Shoes,Fashion,Adidas,Amazon,Dubai,9716.95,4,38867.8,1.76,60,,,,,
P0022,ORD100021,Samsung Galaxy A14,Electronics,Samsung,Jumia,Casablanca,12134.55,4,48538.2,4.61,2413,,,,,
P0023,ORD100022,iPhone 13,Electronics,Apple,Jumia,Alexandria,3597.29,1,3597.29,4.63,2559,,,,,
P0024,ORD100023,Dell Inspiron 3501,Computers,Dell,Jumia,Casablanca,17087.44,3,51262.32,4.75,2187,,,,,
P0025,ORD100024,Samsung Galaxy A14,Electronics,Samsung,Souq,Dubai,7396.38,2,14792.76,4.34,1123,,,,,
P0026,ORD100025,Xiaomi Redmi Note 12,Electronics,Xiaomi,Souq,Casablanca,15915.39,5,79576.95,1.73,534,,,,,
P0027,ORD100026,iPhone 13,Electronics,Apple,Souq,Dubai,14633.56,4,58534.24,3,4444,,,,,
P0028,ORD100027,HP Pavilion Laptop,Computers,HP,Souq,Giza,19624.3,1,19624.3,4.55,3542,,,,,
P0029,ORD100028,Bluetooth Headset,Accessories,JBL,Amazon,Giza,12094.71,2,24189.42,3.37,628,,,,,
