ProductId,Product,Category,Brand,Price,Rating,Reviews,,,,,
P0001,Samsung Galaxy A14,Electronics,Samsung,16284.02,1.39,1684,,,,,
P0002,Nike Air Max,Fashion,Nike,6645.2,2.56,3604,,,,,
P0003,Bluetooth Headset,Accessories,JBL,8882.92,4.98,1257,,,,,
P0004,HP Pavilion Laptop,Computers,HP,3665.44,1.44,662,,,,,
P0005,iPhone 13,Electronics,Apple,5210.37,3.73,2424,,,,,
P0006,T-shirt Cotton,Fashion,Generic,19869.86,3.91,2154,,,,, 
P0007,T-shirt Cotton,Fashion,Generic,17796.11,4.18,4309,,,,,
P0008,Smartwatch FitPro,Wearables,FitPro,13081.14,2.98,3504,,,,,
P0009,T-shirt Cotton,Fashion,Generic,510.3,1.17,178,,,,,
P0010,Xiaomi Redmi Note 12,Electronics,Xiaomi,6326.57,2.05,4589,,,,,
P0011,Samsung Galaxy A14,Electronics,Samsung,10283.51,3.05,4702,,,,,
P0012,Dell Inspiron 3501,Computers,Dell,451.79,4.28,618,,,,,
P0013,HP Pavilion Laptop,Computers,HP,5904.49,2.6,1215,,,,,
P0014,HP Pavilion Laptop,Computers,HP,19853.19,3.46,2143,,,,,
P0015,HP Pavilion Laptop,Computers,HP,17920.82,4.84,2166,,,,,
P0016,Xiaomi Redmi Note 12,Electronics,Xiaomi,15802.27,1.75,1853,,,,,
P0017,Samsung Galaxy A14,Electronics,Samsung,3529.77,2.06,717,,,,,
P0018,Dell Inspiron 3501,Computers,Dell,13247.77,3.86,4403,,,,,
P0019,iPhone 13,Electronics,Apple,13936.49,1.42,153,,,,,
P0020,T-shirt Cotton,Fashion,Generic,5953.25,1.99,3079,,,,,
P0021,Adidas Running Shoes,Fashion,Adidas,9716.95,1.76,60,,,,,
P0022,Samsung Galaxy A14,Electronics,Samsung,12134.55,4.61,2413,,,,,
P0023,iPhone 13,Electronics,Apple,3597.29,4.63,2559,,,,,
P0024,Dell Inspiron 3501,Computers,Dell,17087.44,4.75,2187,,,,,
P0025,Samsung Galaxy A14,Electronics,Samsung,7396.38,4.34,1123,,,,,
P0026,Xiaomi Redmi Note 12,Electronics,Xiaomi,15915.39,1.73,534,,,,,
P0027,iPhone 13,Electronics,Apple,14633.56,3,4444,,,,,
P0028,HP Pavilion Laptop,Computers,HP,19624.3,4.55,3542,,,,,
P0029,Bluetooth Headset,Accessories,JBL,12094.71,3.37,628,,,,,
P0030,Smartwatch FitPro,Wearables,FitPro,1682.41,2.35,3355,,,,,
P0031,Samsung Galaxy A14,Electronics,Samsung,6584.51,1.02,4582,,,,,
P0032,HP Pavilion Laptop,Computers,HP,3760.61,3.05,2947,,,,,
P0033,Dell Inspiron 3501,Computers,Dell,15781.15,2.04,4325,,,,,
P0034,Adidas Running Shoes,Fashion,Adidas,9205.93,1.53,4684,,,,,
P0035,Adidas Running Shoes,Fashion,Adidas,8827.96,2.22,1653,,,,,
P0036,iPhone 13,Electronics,Apple,3698.12,4,4028,,,,,
P0037,iPhone 13,Electronics,Apple,19025.22,1.07,2108,,,,,
P0038,Bluetooth Headset,Accessories,JBL,7460.49,1.76,967,,,,,
P0039,Dell Inspiron 3501,Computers,Dell,8959.05,3.54,3816,,,,,
P0040,Xiaomi Redmi Note 12,Electronics,Xiaomi,16159.36,2.66,1433,,,,,
P0041,HP Pavilion Laptop,Computers,HP,14053.17,2.92,2252,,,,,
P0042,Dell Inspiron 3501,Computers,Dell,5551.93,3.65,4041,,,,,
P0043,Xiaomi Redmi Note 12,Electronics,Xiaomi,12852.91,1.38,4551,,,,,
P0044,Nike Air Max,Fashion,Nike,8129.36,4.28,1636,,,,,
P0045,iPhone 13,Electronics,Apple,8545.16,1.57,3430,,,,,
P0046,Nike Air Max,Fashion,Nike,12387.97,2.32,1568,,,,,
P0047,T-shirt Cotton,Fashion,Generic,10278.34,4.39,3827,,,,,
P0048,Nike Air Max,Fashion,Nike,11576.04,3.97,2789,,,,,
P0049,Xiaomi Redmi Note 12,Electronics,Xiaomi,12112.14,3.7,2088,,,,,
P0050,Xiaomi Redmi Note 12,Electronics,Xiaomi,2211.64,1.88,1320,,,,,
P0051,HP Pavilion Laptop,Computers,HP,3124.84,4.13,2304,,,,,
P0052,iPhone 13,Electronics,Apple,756.73,4.57,3465,,,,,
P0053,iPhone 13,Electronics,Apple,14895.57,3.73,4267,,,,,
P0054,Dell Inspiron 3501,Computers,Dell,18273.23,1.46,1062,,,,,
P0055,Adidas Running Shoes,Fashion,Adidas,10005.53,1.14,2537,,,,,
P0056,HP Pavilion Laptop,Computers,HP,4126.25,3.27,1716,,,,,
P0057,Adidas Running Shoes,Fashion,Adidas,19815.58,3.93,635,,,,,
P0058,Adidas Running Shoes,Fashion,Adidas,2256.74,3.45,1109,,,,,
P0059,HP Pavilion Laptop,Computers,HP,1482.74,3.64,3180,,,,,
P0060,iPhone 13,Electronics,Apple,7877.19,4.33,74,,,,,
P0061,iPhone 13,Electronics,Apple,12970.41,4.71,382,,,,,
P0062,Xiaomi Redmi Note 12,Electronics,Xiaomi,12669.24,1.04,541,,,,,
P0063,Bluetooth Headset,Accessories,JBL,13550.34,4.62,1604,,,,,
P0064,Smartwatch FitPro,Wearables,FitPro,18610.55,1.2,23,,,,,
P0065,T-shirt Cotton,Fashion,Generic,12309.76,3.85,3862,,,,,
P0066,Dell Inspiron 3501,Computers,Dell,10538.13,4.28,2757,,,,,
P0067,Bluetooth Headset,Accessories,JBL,2059.56,2.26,4608,,,,,
P0068,Adidas Running Shoes,Fashion,Adidas,867.36,4.51,1725,,,,,
P0069,Bluetooth Headset,Accessories,JBL,19518.01,3.57,4164,,,,,
P0070,iPhone 13,Electronics,Apple,5639.27,3.45,2458,,,,,
P0071,Xiaomi Redmi Note 12,Electronics,Xiaomi,5338.3,2.98,3744,,,,,
P0072,Dell Inspiron 3501,Computers,Dell,15596.39,4.72,5000,,,,,
P0073,Nike Air Max,Fashion,Nike,3963.43,1.22,4677,,,,,
P0074,Samsung Galaxy A14,Electronics,Samsung,7881.58,3.73,1747,,,,,
P0075,Adidas Running Shoes,Fashion,Adidas,8551.18,4.56,4219,,,,,
P0076,iPhone 13,Electronics,Apple,13558.27,2.53,931,,,,,
P0077,Nike Air Max,Fashion,Nike,17105.39,2.68,4192,,,,,
P0078,Smartwatch FitPro,Wearables,FitPro,15288.47,4.57,2309,,,,,
P0079,Xiaomi Redmi Note 12,Electronics,Xiaomi,19086.5,3.75,4431,,,,,
P0080,Bluetooth Headset,Accessories,JBL,7564.18,1.79,445,,,,,
P0081,Nike Air Max,Fashion,Nike,7919.88,3.03,1652,,,,,
P0082,Adidas Running Shoes,Fashion,Adidas,17787.92,4.92,3648,,,,,
P0083,Smartwatch FitPro,Wearables,FitPro,4894.12,1.3,3235,,,,,
P0084,T-shirt Cotton,Fashion,Generic,9574.88,4.6,2288,,,,,
P0085,T-shirt Cotton,Fashion,Generic,11226.5,3.09,4662,,,,,
P0086,Adidas Running Shoes,Fashion,Adidas,1569.06,4.92,4342,,,,,
P0087,iPhone 13,Electronics,Apple,5492.13,4.13,4175,,,,,
P0088,Xiaomi Redmi Note 12,Electronics,Xiaomi,1052.63,4.36,499,,,,,
P0089,Smartwatch FitPro,Wearables,FitPro,14714.58,4.21,9,,,,,
P0090,Samsung Galaxy A14,Electronics,Samsung,5026.21,3.36,3909,,,,,
